Application mode,Application order,Course,Father's qualification,Mother's occupation,Father's occupation,Displaced,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),GDP,units_approved_rate_1st,units_approved_rate_2nd,Target_Graduate
1,3,12,1,10,2,1,0,0,0,1,21,8,12,7,11,1,4,8,9,7,13,-1,0.8601070029307272,0.8240881080735738,0
14,1,14,3,5,11,1,0,1,0,0,19,0,0,0,0,0,0,0,-1,0,0,0,0.0031775783199604448,0.0295028347649114,0
1,3,10,28,10,8,1,0,1,1,1,20,6,6,5,14,0,0,6,9,6,14,-1,0.9974970361245251,0.9951979462581221,1
8,1,5,28,6,8,1,0,1,0,1,18,6,13,6,11,0,0,6,10,6,12,0,1.0008226100258077,0.9909700699980325,1
14,1,16,27,10,8,0,0,1,0,1,18,6,8,5,14,0,0,6,10,8,13,2,1.0002545329949346,1.0048420825757276,1
8,2,10,27,10,10,1,1,1,1,0,26,6,12,2,13,0,0,6,14,3,13,1,0.34077351398347777,0.26419234264879826,0
1,1,10,28,10,10,1,0,1,1,1,18,6,12,5,13,0,0,6,10,5,12,0,0.6668943943391908,0.8474779096347457,0
12,1,14,1,5,1,0,0,0,0,0,39,6,6,0,0,0,0,6,5,0,0,3,0.02975372868938378,0.02203660525013318,0
14,1,14,5,5,9,0,0,1,0,0,24,5,13,5,11,0,0,5,15,4,11,0,0.8326305922283478,0.4453797666167058,1
12,1,17,28,10,11,0,0,1,1,0,34,5,8,2,14,0,0,5,9,3,14,1,0.3140495277515237,0.27446124702638586,0
1,1,9,14,6,9,0,0,1,1,0,40,5,5,0,0,0,0,5,5,0,0,-3,-0.009986580633151073,-0.019386624302987127,0
13,1,6,14,5,8,0,0,1,0,0,24,5,5,2,13,0,0,5,5,0,13,3,0.6770552349890614,-0.007724091981976245,0
1,6,12,27,5,11,1,0,1,0,1,18,8,12,7,14,0,0,8,9,8,13,-3,0.8875684737452744,0.8963601443968743,1
8,1,14,1,10,3,1,0,0,0,0,20,6,9,6,12,0,0,6,9,3,11,2,0.6779188029748905,0.330888786348847,0
12,1,12,27,29,2,0,0,1,0,0,44,7,8,7,13,0,0,8,7,6,13,1,1.0033518879285537,1.0090788766728085,0
15,1,14,1,12,11,0,0,1,0,1,18,5,9,5,11,0,0,5,9,4,12,0,0.836964736996406,0.8328675620365301,0
8,5,12,1,32,4,1,0,1,0,0,18,6,11,5,13,0,0,7,9,4,13,1,0.8477091660446905,0.866061658883933,1
12,1,9,27,10,10,0,0,0,0,0,60,5,7,2,10,0,0,5,10,0,0,-1,0.01884027742563097,-0.007824035636313703,0
1,5,6,1,6,9,1,0,1,0,1,18,6,7,6,11,0,0,6,8,6,13,-3,0.9954927528446478,0.9980544256429372,1
1,1,14,14,10,6,1,0,0,0,0,18,6,7,6,12,0,0,6,10,6,13,0,0.9984995894105294,0.9979904335147233,1
1,1,15,28,6,6,1,0,1,0,1,19,6,6,6,14,0,0,6,6,6,13,1,1.0039043594357464,1.0031789783064227,1
1,5,12,28,5,6,0,0,1,0,1,19,5,8,5,12,0,0,5,8,5,13,-3,0.990996411718162,0.9840840555508628,1
15,1,9,2,5,12,1,0,1,1,0,20,5,11,2,10,0,0,5,6,3,10,2,0.3900364512318124,-0.015921012501657842,0
8,1,6,27,8,8,1,0,1,0,1,19,6,8,6,13,0,0,6,12,5,13,0,0.8264783252133768,0.8288137828061428,1
8,1,16,2,10,3,1,0,1,0,0,18,6,13,2,11,0,0,6,8,2,13,3,0.6333514443457599,0.38229769303057903,0
1,5,15,14,10,10,1,0,1,1,0,19,6,6,2,11,0,0,6,0,3,10,1,0.6507240975083822,0.42317630234117587,0
14,1,12,27,10,10,0,0,1,0,1,27,8,8,7,14,0,0,8,8,8,15,1,0.8405761403293226,1.0037998993504353,1
1,1,12,1,4,4,1,0,1,0,0,23,5,7,9,13,0,0,8,9,8,13,0,0.9899233069888314,0.8394433653050398,1
1,1,9,1,10,10,0,0,1,0,1,21,6,8,6,12,0,0,6,10,6,13,0,0.8528125862874982,0.9963455150560673,1
1,1,10,2,3,7,0,0,1,0,0,19,6,5,5,12,0,0,6,6,5,13,0,1.0000903062211366,1.000503305035289,1
12,1,9,14,12,8,0,0,1,0,0,37,5,8,7,12,0,0,8,13,7,15,0,0.8145679527837426,0.8403922864724834,1
12,1,15,27,10,10,0,0,1,1,0,18,6,6,6,12,0,0,6,6,6,12,-3,0.9968236573852673,0.9950872217248434,1
14,2,12,28,10,4,1,0,1,0,0,18,8,9,7,14,0,0,8,8,8,14,-3,1.0010143257560375,0.9960748695815952,1
5,1,5,14,6,9,1,0,1,1,1,21,6,6,6,13,0,0,6,6,5,13,1,1.0037624259198512,1.0042157757582966,1
8,1,9,27,8,9,0,0,1,0,0,24,5,8,2,10,0,0,5,8,0,0,-3,0.6428742828381023,0.35450221416580585,0
17,1,12,5,10,2,1,0,1,1,0,25,11,11,9,13,0,4,8,12,7,14,-1,0.8386155332569424,0.8435839583357143,0
8,2,15,1,5,11,1,0,1,0,0,19,6,7,6,13,0,0,6,6,6,13,0,0.9912274426763596,1.0056139219237197,1
1,1,12,14,10,4,1,0,1,0,0,20,7,12,0,13,0,0,8,8,0,0,0,0.0009432589644037852,-0.002267189319408,0
4,1,12,27,4,2,0,0,1,0,1,41,7,7,5,11,4,0,7,9,6,12,-4,0.7063031733946602,0.8322112209127902,1
1,6,9,28,5,10,1,0,1,0,1,18,5,8,7,14,0,0,5,8,8,11,-3,0.8227535228808898,0.8303246774838753,1
1,1,5,1,10,8,1,0,1,0,1,18,7,7,6,13,0,0,8,10,8,13,1,1.0047682725450118,1.0061319641817523,1
1,1,9,27,10,10,0,0,0,1,0,21,6,8,2,12,0,2,6,12,3,10,1,0.3143520535692911,0.3496851468489175,0
14,3,2,28,10,3,1,0,1,1,0,20,0,0,0,0,0,0,0,0,0,0,1,0.029578196704352477,0.01805234356859909,0
9,6,10,28,5,3,1,0,1,0,0,18,6,6,0,0,0,0,6,6,0,13,-1,0.0024961367512887347,-0.004583013264712243,0
1,5,12,1,5,3,1,0,1,0,0,19,8,8,7,13,0,0,8,9,8,13,0,0.8565518700617835,0.8269752384968524,1
1,1,10,27,10,3,0,0,1,1,0,33,6,6,0,0,0,0,6,0,0,0,0,0.01987204710202773,0.018964530426088682,0
1,3,14,1,5,8,1,0,1,0,0,18,6,6,5,13,0,0,6,6,6,13,0,0.9943327978766151,0.994819565746004,1
1,1,14,27,13,3,1,0,1,1,0,47,6,6,6,12,0,0,6,6,6,13,0,0.6823533418752222,1.0000209723524718,1
8,1,12,1,5,9,1,0,1,1,0,21,6,7,6,13,0,0,7,9,6,14,2,0.988633225793797,0.9970413954679519,1
1,4,9,14,5,6,0,0,1,0,0,19,5,5,4,12,0,0,5,10,5,12,0,0.9946536985507288,0.8377445980941425,1
1,2,9,28,5,8,1,0,1,0,0,19,8,8,9,12,0,0,8,10,3,13,-3,1.0081637347342076,0.8223936947215865,1
1,1,12,14,10,9,0,0,1,0,0,18,7,15,7,14,0,0,8,7,8,15,-3,0.8403130502425726,0.9957414186064594,1
14,2,12,28,5,9,1,0,1,0,1,20,7,12,7,14,0,0,7,7,7,13,0,0.8635855722825821,0.8263475951443768,1
1,1,2,4,6,3,0,0,1,0,0,30,5,14,3,11,0,0,5,14,0,10,0,-0.015304165378691087,-0.0065432600435487145,0
1,5,14,3,5,9,1,0,1,0,0,19,6,7,5,12,0,0,8,12,4,14,2,0.671146458970396,0.8357446042248795,1
14,1,11,28,10,11,0,0,1,0,1,18,6,8,4,12,0,0,6,10,5,12,2,0.6820098542411481,0.4716570885588765,0
1,1,6,2,6,6,1,0,1,1,1,19,6,7,6,12,0,0,6,6,5,13,2,0.9993245517159036,0.9889414859780867,1
1,1,9,2,10,10,1,0,1,1,0,20,5,8,2,11,0,0,5,8,3,14,-1,0.5997402340910437,0.6121032337118884,1
4,1,15,27,15,8,0,0,1,0,0,18,6,6,6,12,0,0,6,6,6,13,0,1.0075181679122482,1.0015056513894602,1
12,1,9,27,10,10,0,0,1,1,0,49,5,5,4,11,0,0,5,13,5,10,1,0.6062147597182257,0.8266853992922556,0
1,1,2,1,6,3,0,0,1,1,0,21,15,13,5,11,0,5,10,15,11,12,-4,0.6813344628944734,0.4230870209334607,0
15,1,15,1,5,11,0,0,1,0,1,19,6,6,6,15,0,0,6,6,6,11,0,1.0113780740195293,0.9995153894918615,1
1,5,2,3,5,4,1,0,0,0,1,18,0,0,0,0,0,0,0,0,0,0,-3,0.004696157983753275,-0.0059632267467722485,0
1,1,4,1,10,6,1,0,1,0,1,19,6,5,6,14,0,0,6,6,6,13,0,1.0011734506354204,1.0055587768377412,1
1,1,6,14,10,6,1,0,1,1,0,20,6,16,6,13,0,0,6,14,3,10,1,0.6471881336230554,0.37747952764454445,0
1,1,15,1,10,10,1,1,1,1,0,20,6,12,4,10,0,0,6,14,3,11,0,0.9995858986578792,0.45847519718137153,0
12,1,3,14,5,3,0,0,1,1,0,41,6,7,0,0,0,0,6,8,0,0,0,0.01432888426739157,0.017541379462438746,0
9,1,9,27,5,2,0,0,0,1,0,32,5,6,1,0,4,0,5,11,0,0,1,0.20671007837939742,-0.022052300494488843,0
13,1,5,1,5,2,0,0,1,1,0,22,6,0,0,0,0,0,0,0,0,0,1,0.014417892103076316,0.010812934799912393,0
12,1,6,27,4,9,0,0,1,0,0,24,6,11,6,12,0,0,6,7,6,11,0,0.4763938035356041,0.5668867188150019,0
12,1,12,27,10,10,1,0,1,0,1,19,7,8,7,12,7,0,8,8,8,13,-3,0.8473508485625606,0.839901291270677,0
1,1,15,27,5,2,0,0,1,0,1,18,6,8,6,11,0,0,6,7,6,13,0,1.01171060691565,0.8535177522500482,1
12,1,3,4,10,3,0,0,1,0,0,30,7,13,3,0,0,0,7,10,0,0,0,0.6722444402599638,0.34579046848248063,0
12,1,12,14,10,5,0,0,1,1,1,38,6,7,7,11,0,0,8,9,8,14,1,0.8442912986335068,0.4429072799324276,1
8,1,9,1,10,5,1,1,1,1,0,22,5,9,2,10,0,0,5,14,3,10,1,0.4622261736256535,0.3803288763049836,0
1,1,12,27,8,8,0,0,1,0,1,22,8,17,8,13,0,0,8,11,7,13,0,0.8320589221412295,0.8473708470635118,1
12,1,6,27,10,9,0,0,1,1,0,43,5,9,3,12,0,0,5,10,5,12,0,0.997275563545316,0.9966705686987458,1
12,1,12,27,5,2,0,0,1,1,0,31,11,12,2,11,0,1,7,11,7,12,0,0.6477178917360713,0.3699189046174027,0
1,1,11,14,20,6,1,0,1,1,1,18,6,13,6,11,0,0,6,10,6,12,2,1.0058730572142995,1.0069192805296605,1
1,1,17,27,10,4,1,0,1,1,0,25,5,8,5,14,0,0,5,10,5,11,0,0.6694036729164974,0.34224032223878276,0
4,1,2,1,6,3,0,0,0,1,0,21,3,0,0,0,0,0,3,-1,0,0,3,0.02495762673703494,0.035511459473133354,0
1,1,5,1,4,9,1,0,1,0,1,20,7,11,6,12,0,0,11,7,8,15,0,0.9986569941639066,1.0011061721214878,1
1,1,2,2,5,9,1,0,1,1,0,23,0,-1,0,0,0,0,0,0,0,0,-3,0.008134549022863076,-0.0007507163983627931,0
1,6,14,28,5,6,1,0,1,0,1,18,6,6,5,12,0,0,6,5,5,11,1,1.0042388931450348,1.0096714683030663,1
1,1,5,27,10,10,1,0,1,1,1,21,6,11,6,11,0,0,6,10,6,12,3,1.011546504062248,0.4615344933175197,1
3,1,7,27,10,9,1,0,1,1,1,18,5,8,5,10,0,0,5,10,5,11,0,0.8294416880650028,0.8077743892968624,0
1,4,2,3,5,3,1,0,1,1,0,20,0,0,0,0,0,0,0,0,0,0,1,0.01716254554768746,0.007432827814390428,0
1,1,10,14,5,5,1,0,1,1,1,19,6,6,6,12,0,0,6,7,6,12,2,1.0038360400099064,1.0098823798867502,1
1,1,14,1,4,11,1,0,1,0,0,19,7,7,6,12,0,0,7,9,6,13,0,1.0036385775299688,0.8296109097482042,0
1,3,12,28,8,9,1,0,1,0,0,19,8,8,7,12,0,0,8,9,7,13,0,0.8883837765959808,0.8821723888276105,1
14,1,11,14,5,11,0,0,1,0,1,27,5,8,2,13,0,0,5,5,0,0,0,0.2096847756137628,-0.018013170453789973,1
14,1,7,1,6,9,0,1,0,1,0,22,6,12,2,10,0,0,6,12,3,10,0,0.626621830394071,0.46325035091830674,0
15,2,14,1,10,7,1,0,0,1,0,21,6,12,1,12,0,1,6,12,3,12,0,0.6777431360278673,0.6156999096824023,0
4,1,9,24,12,1,0,0,1,0,0,28,5,5,5,14,2,0,5,8,5,14,0,0.8314267089033933,0.9935312492988403,1
1,6,12,27,10,10,1,0,1,0,0,20,8,8,7,11,0,4,8,11,7,13,-3,0.6831710158416343,0.8613290038923124,0
13,1,7,10,5,3,1,1,1,1,0,22,5,11,2,11,0,0,5,13,3,10,-3,0.6509527183602069,0.3377771310552288,0
1,1,10,27,10,6,0,0,1,0,1,18,6,5,6,12,0,0,6,6,6,13,0,1.0106479693433166,1.0138645937388742,1
1,2,10,1,5,8,0,0,1,0,1,21,6,8,6,12,0,0,6,14,5,12,1,0.862222351696335,0.808896390337209,1
14,1,12,14,10,11,0,0,1,0,0,34,7,7,7,14,1,0,7,9,8,13,0,0.8297256620600135,0.8293715313955412,1
14,1,3,3,4,2,0,0,1,0,0,28,7,15,5,11,0,1,7,11,8,11,0,0.5165477759971356,0.5248485823162947,0
1,1,12,1,10,11,1,0,1,0,1,18,8,10,6,14,0,0,8,7,8,12,1,1.0023564644377227,0.8352482627556711,1
1,1,15,28,6,6,1,0,1,0,0,18,6,7,6,12,0,0,6,6,6,13,2,1.0174313368384091,1.0054776049902079,1
8,1,7,3,5,10,1,1,1,0,0,21,5,11,2,12,0,0,5,9,5,13,3,0.48155815504551985,0.2739681695293678,0
1,5,10,27,10,9,1,0,1,1,1,18,6,6,6,11,0,0,6,6,6,12,0,1.0043224638656507,1.0093508167895942,1
1,1,17,28,10,7,0,0,1,0,1,18,5,6,5,12,0,0,5,8,8,15,-3,0.9913982649585982,0.9959458331884679,1
12,1,4,9,23,3,0,0,1,1,0,45,14,20,16,12,0,11,13,14,2,10,-4,0.2636725680461812,0.4002006432205742,0
12,5,9,27,10,3,1,0,1,1,0,23,5,11,2,11,0,0,6,8,0,11,-1,0.2523782319616283,-0.011519785600582783,0
1,1,9,28,5,4,0,0,0,0,1,23,5,5,2,12,0,0,5,5,5,13,2,0.9981240533642681,0.9927116240660941,0
8,1,2,1,5,9,1,0,1,0,1,18,0,0,0,0,0,0,0,0,-1,0,-3,0.023343004029137256,0.017730489996045887,0
1,1,12,27,10,10,0,0,1,0,0,32,14,11,6,11,0,0,7,8,6,12,0,0.6260895216964458,0.8504551169870167,1
12,1,4,27,10,44,0,0,1,1,0,41,6,11,2,11,0,1,6,14,0,10,0,0.2220362156977011,0.4677168896247578,0
12,1,3,27,10,7,0,0,1,0,0,35,6,15,2,12,0,1,6,22,3,11,0,0.6901712628916932,0.4858613095320216,0
17,1,9,1,12,7,1,0,0,0,0,25,11,12,10,10,0,4,11,14,3,10,3,0.42971968773863656,0.3258142645162784,0
1,3,12,1,6,4,1,0,1,0,0,18,8,7,7,14,0,0,8,9,7,11,-3,0.8371814855353437,0.8777048780439861,1
8,4,16,3,6,9,1,0,1,0,0,18,0,0,0,0,0,0,0,0,0,0,2,-0.0034466985747044245,0.017253001430967994,0
12,1,17,27,6,10,0,0,1,1,1,40,5,6,5,11,0,0,5,6,5,15,0,0.9968094786737741,0.9961226332110871,1
17,1,3,27,10,19,0,0,1,0,1,54,14,19,13,14,0,10,12,12,12,13,-4,0.996072390773982,0.9997720089621392,1
1,5,9,27,5,10,1,0,1,1,1,18,5,6,5,13,0,0,5,6,5,13,1,0.9964273318903006,1.0006386300268295,1
1,4,15,1,10,11,1,0,1,0,1,18,6,0,0,0,0,0,6,0,0,0,-1,0.022704166178218292,0.007866698491278135,1
1,5,12,1,5,6,1,0,1,0,0,19,5,8,5,14,1,0,5,10,3,13,-3,0.9911224052746096,0.5834848458384984,1
4,1,2,27,5,4,0,0,1,0,1,19,0,0,0,0,0,0,0,-1,0,0,0,0.01384782197633223,0.008317864091641518,0
14,1,10,27,10,10,0,0,1,0,1,19,10,14,5,11,0,0,11,11,5,12,0,0.8522187946645408,0.9983483896437985,1
1,4,10,27,10,6,1,0,1,0,1,18,6,8,6,12,0,0,6,6,6,13,0,0.9922326828807461,1.0040951963647515,1
14,3,3,27,8,2,1,0,1,0,1,18,6,11,6,12,0,0,7,10,4,12,0,0.8113959727515276,0.8500262639556767,0
1,1,5,14,7,6,1,0,1,1,0,25,6,6,6,12,0,0,6,6,5,13,1,1.0026292781967707,1.0092961847257773,1
1,2,6,27,10,10,1,0,1,0,1,18,5,9,5,12,0,0,5,7,5,12,1,1.0004141242927715,0.832007905851032,1
1,1,16,3,6,11,1,0,1,0,0,18,7,15,6,13,0,0,7,9,6,13,2,0.8411035076407499,1.0030617038192933,0
1,3,12,3,10,9,1,0,1,0,0,19,7,14,7,13,0,0,8,14,6,13,-3,0.8346146017590218,0.8305235806905059,0
13,2,10,27,10,11,1,0,0,0,0,19,6,0,0,0,0,0,6,0,0,0,-3,-0.005106168595549939,-0.008977456577666517,0
14,1,7,1,5,5,0,0,1,1,0,22,5,12,2,10,0,0,5,10,3,10,0,0.3890628806814444,0.23041387534734892,0
14,1,9,27,10,10,0,0,1,0,0,20,8,12,2,10,0,0,7,11,3,10,1,0.6538583214288786,0.23539769037886368,0
8,1,9,2,6,4,1,0,0,1,0,23,5,6,2,0,3,0,5,5,0,0,1,-0.013586881586235429,0.0037500303035344004,0
9,1,17,27,12,5,0,0,1,1,0,24,5,6,0,0,0,0,5,5,0,0,-3,-0.004619353777787933,0.00536004502942266,0
12,1,17,27,10,7,0,0,1,0,0,29,5,15,2,12,0,0,5,9,2,13,-1,0.3813096083287484,0.3908261326612597,0
1,1,9,27,10,4,1,0,1,1,0,19,5,8,1,10,1,0,5,9,3,10,3,0.6172068764045804,0.627508393777711,0
1,1,12,27,5,10,0,0,1,0,0,26,8,11,7,13,0,0,8,11,7,14,0,0.8565632817327798,0.8520851752503582,1
12,1,6,1,10,6,0,0,1,1,0,31,5,7,5,10,0,0,5,18,4,12,0,0.6356381041575554,0.3680512687855312,0
8,1,4,27,10,10,0,0,0,1,0,30,11,8,6,12,0,0,7,7,3,13,2,0.9919688683445591,1.004311890863168,1
1,1,2,1,5,3,1,0,1,1,1,20,6,21,6,13,0,0,6,12,6,13,3,1.0027387538682888,1.0090315328236044,1
15,1,3,28,12,6,0,0,1,0,1,24,15,17,8,14,0,0,11,12,11,15,0,1.0015007463698022,0.995852490014857,1
12,1,17,27,10,7,0,0,1,1,0,40,5,5,5,12,0,0,5,5,4,14,0,0.9897898145634527,1.0005491905412973,1
8,3,15,1,5,2,1,0,1,1,0,18,6,6,6,14,0,0,6,6,6,16,3,1.0082183146514447,1.0003603179982896,1
14,2,15,27,6,6,1,0,1,0,0,24,6,8,6,13,0,0,5,10,4,12,0,0.8400783695466159,0.8389939707383643,1
8,6,6,1,6,6,1,0,1,0,1,19,6,6,6,14,0,0,6,6,6,12,-3,1.0059677748837987,1.0094218517489713,1
1,1,9,28,10,10,0,0,1,0,1,24,11,6,5,12,0,0,12,7,6,13,1,0.991642678125145,0.9968703323146954,1
14,1,3,2,12,8,0,0,1,1,0,24,6,0,0,0,0,0,0,5,0,0,0,-0.008481668709329272,-0.009474933873611903,0
1,1,9,1,4,11,0,0,1,1,0,28,5,6,0,0,0,0,5,6,0,0,3,-0.004646684427364057,0.0188697618802145,0
1,1,10,14,10,9,1,0,1,1,1,20,6,7,6,13,0,0,6,9,6,12,0,1.002002224783363,0.8668294045278793,1
1,3,10,1,4,8,0,0,1,1,1,18,6,13,1,11,0,0,6,12,5,12,3,0.46428697432913685,0.46630352097744127,0
1,1,2,27,5,9,1,0,1,1,0,18,0,0,0,0,0,0,0,0,0,0,-4,0.01745913352899999,0.005145191480168006,0
8,5,12,14,5,1,1,0,1,0,0,21,5,11,5,13,0,0,5,9,5,13,0,0.8028172276218601,0.8100631209604106,0
14,1,5,3,5,3,1,0,1,1,0,23,6,6,2,10,0,0,6,6,0,13,2,0.5549721871252223,0.435507266451354,0
8,1,12,1,6,4,1,0,1,0,0,19,7,7,6,13,0,0,8,9,8,13,2,1.000110025262098,0.8544171203099287,0
9,1,12,28,5,2,1,0,1,0,0,20,7,15,6,13,0,0,8,13,6,13,2,1.0091263132200712,0.1883061279514561,0
1,1,5,1,6,6,1,0,1,0,0,21,6,11,6,11,0,0,6,9,6,13,2,0.8520840286969704,0.8607828327978604,0
12,1,3,27,12,10,0,0,0,0,0,52,5,5,2,10,0,0,5,5,0,0,1,0.21397562005648418,0.008715267138456214,0
12,1,16,27,10,10,1,0,1,0,1,19,6,10,6,13,0,0,6,9,6,13,0,1.0110094486788876,0.9972319503936576,1
16,1,9,1,7,6,0,0,1,0,0,24,5,5,5,13,2,0,5,5,5,11,0,0.981019193564893,0.9892500551865295,1
8,1,13,3,12,9,1,0,0,1,0,31,0,0,0,0,0,0,0,-1,0,0,-3,0.027024542076491822,0.02837094110018543,0
1,1,9,14,3,10,1,0,1,1,0,27,5,11,2,10,0,0,5,8,3,0,1,-0.001975200048541596,0.33974893133365697,0
1,1,2,27,6,11,0,0,0,1,0,18,0,0,0,0,0,0,0,0,0,0,3,0.002345504643958548,-0.007090218856625506,0
1,3,10,28,5,4,1,0,1,0,1,18,6,6,6,12,0,0,6,10,6,12,-4,1.0076411419914817,1.0130004050298356,1
1,1,11,3,10,11,1,0,1,1,0,24,6,12,4,10,0,0,6,12,3,12,2,0.6751402335880793,0.6565032577183744,0
1,1,2,27,5,3,1,0,1,1,1,18,0,0,0,0,0,0,0,0,0,0,0,0.033435264980241644,0.014850882532719847,0
8,1,5,1,5,3,0,0,1,0,0,19,6,6,6,15,0,0,6,6,6,12,2,1.008204898316997,1.0184426883955036,1
15,1,9,1,10,9,1,0,0,1,0,34,5,5,0,0,1,0,5,5,0,0,3,0.0006122316541313593,0.007178060168921769,0
7,1,5,2,6,9,0,0,1,1,1,20,5,5,2,12,0,0,5,6,5,13,-3,1.0065103778057658,1.0063220283405585,1
8,1,6,1,6,4,1,0,1,0,0,19,5,12,5,11,0,0,5,7,5,12,1,0.9875133027871204,0.8602500236176939,0
8,1,10,3,7,10,0,0,1,0,1,20,6,7,6,11,0,0,6,9,6,13,2,0.9919897036928672,1.0004303681143567,1
14,1,5,1,4,9,0,0,1,1,0,30,15,15,9,11,0,9,12,9,2,12,0,0.8133328628150863,0.3731517035955518,0
1,6,9,1,20,4,1,0,1,1,0,18,5,6,10,12,0,0,5,7,8,12,-1,0.982799530294035,0.9951971565800304,1
1,1,12,14,6,9,1,0,1,1,1,18,6,7,6,14,0,0,6,6,4,13,-3,0.992380618153622,0.9963601210310717,1
14,1,16,1,10,11,0,0,1,0,1,19,6,8,6,12,0,0,6,9,6,12,1,0.9925084149331256,1.0067673377162036,1
12,1,17,27,5,3,1,0,0,1,0,39,6,2,1,0,0,0,6,10,0,0,-3,0.18460388141251385,0.013395666297204348,0
1,5,12,28,5,9,1,0,1,0,0,18,8,8,5,11,0,0,8,10,5,12,2,0.998103496655556,0.852592002125022,1
12,1,12,27,10,10,0,0,1,0,0,45,7,12,6,14,0,0,7,8,6,12,0,0.83928588385292,0.8529891571164814,1
9,1,13,1,2,3,1,0,1,1,0,21,8,10,7,12,0,0,8,8,7,13,3,0.8386152686911693,0.8425799278604287,0
8,1,10,1,10,11,1,0,1,0,1,18,6,12,6,11,0,0,6,10,5,12,2,0.9934127408510085,0.856278528592377,1
12,1,6,14,6,3,1,0,1,1,0,22,5,5,2,10,0,0,5,5,3,10,-3,0.1977738362131779,0.8232071890247834,0
1,1,14,28,10,10,1,0,1,0,0,44,6,6,6,13,0,0,6,6,6,12,0,1.0030417806569407,1.01826054979597,1
8,1,9,1,3,4,0,0,1,0,0,20,5,10,4,12,0,0,5,9,3,13,0,0.8309002391717427,0.8497983843888076,0
14,1,9,1,10,9,0,0,1,1,0,20,10,15,3,12,0,3,7,12,2,12,3,0.6542763277067787,0.4174087619022909,0
12,1,14,3,10,8,1,0,0,0,0,19,6,11,2,10,0,0,6,9,4,10,0,0.811497040915999,0.40042275149399975,0
1,1,9,14,10,10,1,0,1,0,0,19,5,8,7,14,0,0,5,9,8,11,-3,0.9952085513770899,0.9911617376868412,1
1,3,15,1,12,6,1,0,0,0,0,25,5,6,0,0,0,0,5,5,0,0,-3,0.02413090170327504,0.002566095772829722,0
8,2,16,28,8,8,1,0,1,0,1,18,6,6,6,12,0,0,6,8,6,13,-3,0.8594123743859015,0.8732471665498495,1
8,1,17,27,4,7,0,0,1,0,0,33,5,5,2,14,0,0,5,5,3,10,3,0.2747164128097908,0.9927120215911198,0
1,1,9,27,10,10,1,0,1,1,0,23,15,12,9,12,0,0,12,12,10,12,-1,0.6290853831310104,0.8386023271999625,0
14,9,12,27,10,9,1,0,1,0,0,20,8,12,9,11,1,0,12,13,7,13,1,0.6113581497373254,0.8574552604561813,1
3,1,4,27,6,9,0,0,1,0,1,24,6,6,2,13,0,0,5,6,3,12,2,0.1577177509638275,0.4638858286625024,1
12,1,7,28,8,6,0,0,1,1,0,25,5,5,2,10,0,0,5,8,3,10,1,0.6263174168831761,0.2580426085445916,0
12,1,9,14,1,36,0,0,1,0,1,25,5,6,10,10,2,0,5,6,5,10,3,0.9936359890111336,0.9959524648728499,1
1,1,5,27,10,10,1,0,1,0,1,18,6,8,6,12,0,0,6,6,6,13,0,1.0018048082030282,1.0151038296589705,1
12,1,3,27,10,7,0,0,1,1,1,32,6,10,2,12,0,1,7,8,4,11,0,0.6864397847211595,0.49627230906833225,0
16,1,5,27,6,3,1,0,1,1,1,21,6,6,6,12,0,0,6,9,6,12,2,1.0071382243097076,1.006031371932093,1
12,1,3,27,6,4,1,0,1,0,0,24,10,13,14,11,7,4,11,11,2,10,0,0.8207563582715584,0.3773268843848882,1
14,1,13,28,1,6,0,1,0,0,0,27,5,11,0,0,0,0,5,10,0,0,1,0.01502238780870454,0.0004105517976895061,0
1,1,12,27,10,10,1,0,1,0,1,22,8,15,9,12,0,4,8,12,7,13,0,0.8495296698884571,0.8571664993598445,1
3,1,5,2,6,4,1,0,1,1,1,27,6,5,9,12,0,0,6,12,6,12,3,1.0017690431984247,0.9973552817654697,1
1,4,12,28,6,8,0,0,1,0,1,21,10,12,6,13,0,0,8,9,8,12,0,1.0011273919197163,0.9953591046686282,1
1,1,7,14,5,2,0,0,1,1,0,21,5,9,7,13,0,0,5,11,5,12,0,0.6327189873815776,1.0033510160866728,0
12,1,17,27,10,8,0,0,1,1,0,26,5,13,2,10,0,0,5,11,2,10,1,0.6203759544016937,0.6463182034202706,0
12,1,9,27,12,8,0,0,1,1,0,33,5,5,2,14,0,0,5,5,5,14,-3,0.9966395167104841,0.9896946239991441,1
1,2,10,14,6,9,1,0,1,0,1,19,6,6,6,12,0,0,6,6,6,13,1,0.9964338779585558,1.0031369246864943,1
1,2,12,1,4,11,0,0,1,1,0,19,7,8,7,14,0,0,8,8,8,13,2,0.8522435477210079,0.3751986837505019,0
1,1,9,27,10,10,1,0,1,1,0,19,5,8,2,11,0,0,5,8,0,10,-3,0.6264303074633539,0.28337790549399305,0
15,1,4,1,4,7,1,0,1,1,0,20,6,10,6,12,0,0,6,9,6,14,3,0.25046394121645166,0.2742960092621074,0
