Unnamed: 0,Application mode,Application order,Course,Father's qualification,Mother's occupation,Father's occupation,Displaced,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),GDP,units_approved_rate_1st,units_approved_rate_2nd,Target_Graduate
1152,8,3,9,14,4,6,1,0,1,0,0,19,5,7,3,10,0,0,5,11,3,14,1,0.6,0.6,0
1153,1,1,12,1,10,5,1,0,1,0,0,19,7,10,5,12,0,0,7,7,5,13,0,0.7142857142857143,0.7142857142857143,0
1154,1,3,12,27,8,8,1,0,1,0,0,19,8,11,7,13,0,0,8,11,7,13,1,0.875,0.875,1
1155,1,1,9,2,11,11,1,0,1,0,0,19,5,9,4,12,0,0,5,10,4,12,3,0.8,0.8,0
1156,8,1,11,27,10,8,1,0,0,0,0,19,6,9,3,11,0,0,6,15,1,10,1,0.5,0.16666666666666666,0
1157,7,4,11,27,10,8,1,0,1,0,1,21,6,7,6,13,0,0,6,6,6,12,3,1.0,1.0,1
1158,1,2,15,27,10,8,0,0,1,0,1,20,6,9,5,11,0,0,6,9,5,11,-4,0.8333333333333334,0.8333333333333334,1
1159,1,1,9,14,4,10,1,0,1,0,1,20,5,7,5,14,0,0,5,7,5,13,2,1.0,1.0,1
1160,12,1,17,27,10,10,0,0,1,0,0,41,5,8,5,11,0,0,5,6,5,11,0,1.0,1.0,1
1161,4,1,12,27,4,4,1,0,1,0,0,32,7,16,4,13,0,0,7,8,7,12,1,0.5714285714285714,1.0,0
1162,8,3,12,1,10,6,1,0,1,0,0,18,8,8,7,14,0,0,8,8,7,14,1,0.875,0.875,1
1163,12,1,3,27,4,5,0,0,1,0,1,35,6,9,6,11,0,0,6,6,6,11,-4,1.0,1.0,1
1164,12,1,12,27,10,10,0,1,0,0,0,32,7,12,4,13,0,0,7,7,0,0,0,0.5714285714285714,0.0,0
1165,12,1,3,27,6,10,0,0,1,0,0,37,11,11,11,13,0,4,8,8,8,14,1,1.0,1.0,1
1166,12,2,9,27,10,10,0,0,1,0,0,30,7,9,7,11,0,3,8,12,7,11,-1,1.0,0.875,0
1167,14,2,15,14,1,1,0,0,1,1,0,23,6,9,6,12,0,0,6,11,5,13,0,1.0,0.8333333333333334,1
1168,8,2,15,1,3,8,1,0,1,0,1,20,6,6,6,14,0,0,6,7,6,13,-4,1.0,1.0,0
1169,1,1,14,27,6,8,0,0,1,1,0,21,5,7,4,11,0,0,5,6,4,11,-3,0.8,0.8,1
1170,1,1,9,14,6,8,0,0,1,1,0,19,5,6,5,11,0,0,5,5,5,13,1,1.0,1.0,1
1171,8,4,12,14,5,4,1,0,1,1,1,18,8,8,7,15,0,0,8,8,7,15,1,0.875,0.875,1
1172,13,1,7,24,1,1,0,0,1,1,0,18,5,6,1,10,0,0,5,7,1,12,1,0.2,0.2,0
1173,12,1,17,1,5,11,0,0,1,1,0,24,5,5,4,12,0,0,5,6,5,12,1,0.8,1.0,0
1174,9,1,14,27,10,10,1,0,1,1,0,22,6,11,4,13,0,0,6,11,4,12,-1,0.6666666666666666,0.6666666666666666,1
1175,8,4,11,1,6,6,1,0,1,1,0,18,6,7,4,11,0,0,6,7,3,11,0,0.6666666666666666,0.5,0
1176,7,2,10,27,6,7,1,0,1,0,0,18,6,8,6,13,0,0,6,11,5,12,-3,1.0,0.8333333333333334,1
1177,1,2,5,1,10,2,1,0,1,1,0,21,6,7,5,14,0,0,6,6,5,14,0,0.8333333333333334,0.8333333333333334,1
1178,12,1,12,27,10,10,0,1,1,0,0,38,7,13,3,11,0,0,7,14,2,10,0,0.42857142857142855,0.2857142857142857,0
1179,9,1,13,27,10,10,0,0,1,0,1,19,7,11,7,12,0,0,8,11,8,12,-1,1.0,1.0,1
1180,12,1,12,27,10,10,0,0,1,0,0,36,7,12,4,11,0,0,7,14,3,12,0,0.5714285714285714,0.42857142857142855,0
1181,7,1,6,1,10,10,1,0,1,0,0,18,5,8,4,13,1,0,5,10,4,10,-1,0.8,0.8,1
1182,1,3,12,14,6,6,1,0,1,0,0,19,7,9,7,12,0,0,8,12,6,11,1,1.0,0.75,1
1183,17,1,6,28,10,10,0,1,0,0,0,21,10,15,8,13,0,4,9,17,5,13,3,0.8,0.5555555555555556,0
1184,1,2,12,28,30,43,1,0,1,0,0,19,7,10,6,13,0,0,8,11,6,11,2,0.8571428571428571,0.75,0
1185,1,1,10,14,10,10,0,0,1,0,1,18,6,11,5,11,0,0,6,8,6,12,0,0.8333333333333334,1.0,1
1186,4,1,12,14,10,8,1,0,1,0,0,45,11,11,11,12,0,6,10,12,10,12,0,1.0,1.0,0
1187,8,1,9,27,10,8,1,0,1,0,0,20,5,9,1,10,0,0,5,10,1,11,0,0.2,0.2,0
1188,8,1,11,1,6,8,1,1,1,0,0,18,6,8,6,11,0,0,6,10,4,11,0,1.0,0.6666666666666666,1
1189,1,1,14,14,5,5,0,0,1,0,1,18,6,8,6,14,0,0,6,7,6,13,2,1.0,1.0,1
1190,4,2,8,24,1,1,0,0,1,0,0,25,5,9,0,0,4,0,5,9,0,0,1,0.0,0.0,0
1191,1,6,12,1,5,5,1,0,1,0,0,19,8,9,7,12,0,0,8,9,7,12,1,0.875,0.875,1
1192,1,1,2,14,8,8,1,0,1,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1
1193,4,1,11,1,4,7,0,0,1,0,0,39,13,14,13,13,0,9,12,16,12,14,0,1.0,1.0,1
1194,12,1,4,27,10,10,0,0,1,0,0,29,18,20,18,15,0,11,13,13,13,15,-4,1.0,1.0,1
1195,8,1,16,14,5,8,1,0,1,0,0,18,7,9,6,11,0,0,7,8,7,12,0,0.8571428571428571,1.0,0
1196,4,1,5,2,10,4,0,0,0,0,0,23,3,3,2,10,0,0,6,0,0,0,1,0.6666666666666666,0.0,0
1197,13,1,16,27,6,6,1,0,1,0,0,21,6,8,4,12,0,0,6,13,3,10,-1,0.6666666666666666,0.5,0
1198,1,1,10,14,5,5,0,0,0,0,0,18,6,6,6,14,0,0,6,6,6,15,1,1.0,1.0,1
1199,4,1,6,14,6,6,1,0,1,0,0,23,6,7,6,15,0,0,6,8,6,16,1,1.0,1.0,1
1200,1,1,8,14,5,5,0,0,1,0,0,18,6,7,6,15,0,0,6,7,6,14,2,1.0,1.0,1
1201,12,1,3,27,5,9,0,0,1,0,0,32,6,8,5,13,0,0,6,7,6,12,-3,0.8333333333333334,1.0,1
1202,12,2,9,27,10,8,0,1,0,0,0,29,5,8,3,10,0,0,5,14,2,14,1,0.6,0.4,0
1203,1,6,10,28,32,35,1,1,1,0,1,20,6,8,5,11,0,0,6,8,4,11,3,0.8333333333333334,0.6666666666666666,1
1204,12,1,10,24,1,1,1,0,0,0,0,28,6,11,1,13,0,0,6,12,0,0,-3,0.16666666666666666,0.0,0
1205,4,1,9,28,2,10,0,0,1,0,0,27,5,9,3,12,0,0,5,11,4,13,1,0.6,0.8,1
1206,14,2,12,24,12,1,0,1,1,0,0,22,14,14,12,12,2,11,14,14,12,12,0,0.8571428571428571,0.8571428571428571,1
1207,12,1,4,27,10,11,0,1,1,0,0,37,6,10,6,12,0,0,6,12,6,12,0,1.0,1.0,0
1208,4,1,3,28,1,6,0,0,0,0,0,28,6,12,1,11,0,0,6,0,0,0,-1,0.16666666666666666,0.0,0
1209,12,1,4,27,10,10,0,1,0,0,0,43,6,10,4,12,0,0,6,13,4,10,3,0.6666666666666666,0.6666666666666666,0
1210,14,1,13,27,10,10,1,0,0,0,0,32,7,7,0,0,7,0,8,8,0,0,1,0.0,0.0,0
1211,8,1,10,1,10,10,0,0,1,0,1,20,6,11,4,10,0,0,6,13,5,11,-4,0.6666666666666666,0.8333333333333334,0
1212,12,1,12,1,10,5,0,0,1,0,1,35,8,9,8,13,1,0,8,9,8,13,-3,1.0,1.0,1
1213,1,1,14,27,1,1,1,0,1,0,0,21,5,8,3,13,0,0,5,7,4,11,0,0.6,0.8,1
1214,1,4,12,14,8,10,1,0,1,0,1,18,7,9,6,13,0,0,7,7,7,12,1,0.8571428571428571,1.0,0
1215,1,1,12,28,4,8,0,0,1,0,1,18,7,7,7,16,0,0,8,9,8,16,0,1.0,1.0,1
1216,8,4,10,14,6,9,1,0,1,0,0,18,6,10,5,12,0,0,6,11,4,12,0,0.8333333333333334,0.6666666666666666,1
1217,15,1,3,27,8,7,1,0,1,0,0,22,6,6,6,12,0,2,6,7,6,13,1,1.0,1.0,1
1218,1,2,12,1,5,11,1,0,1,0,0,19,8,8,7,12,0,0,8,8,7,12,1,0.875,0.875,1
1219,9,2,9,28,10,8,1,0,1,0,1,18,5,8,5,13,0,0,5,6,5,12,0,1.0,1.0,1
1220,1,2,2,1,4,5,1,1,1,0,0,19,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0
1221,1,1,12,1,10,6,0,0,1,0,1,18,7,7,7,14,0,0,8,9,8,15,2,1.0,1.0,1
1222,12,1,17,29,6,4,0,1,0,0,0,31,5,7,0,0,0,0,5,7,0,0,0,0.0,0.0,0
1223,12,1,3,14,2,6,0,1,1,0,1,33,6,9,5,13,0,0,6,7,6,12,-3,0.8333333333333334,1.0,1
1224,1,3,12,28,8,8,1,0,1,0,1,19,8,8,8,13,0,0,8,8,8,13,-3,1.0,1.0,1
1225,8,1,10,28,8,8,1,0,1,0,1,18,6,7,6,15,0,0,6,6,6,15,-1,1.0,1.0,1
1226,1,1,9,14,5,4,0,0,1,0,0,23,5,8,3,10,0,0,5,8,5,11,0,0.6,1.0,1
1227,8,1,10,28,6,8,1,0,1,0,0,20,6,11,5,11,0,0,6,6,6,12,-3,0.8333333333333334,1.0,1
1228,1,5,12,28,5,9,1,0,1,0,0,18,8,8,8,13,0,0,8,8,8,13,-3,1.0,1.0,1
1229,17,1,6,1,5,4,1,1,1,0,0,21,9,10,8,13,0,4,9,14,5,12,3,0.8888888888888888,0.5555555555555556,0
1230,1,1,10,28,6,7,0,0,1,0,1,22,6,10,5,10,0,0,6,10,5,12,-1,0.8333333333333334,0.8333333333333334,1
1231,1,1,10,14,5,5,1,1,1,0,0,20,6,6,6,12,0,0,6,7,6,11,-3,1.0,1.0,1
1232,4,1,12,28,5,11,1,0,1,0,0,23,7,8,6,14,0,1,7,8,6,14,0,0.8571428571428571,0.8571428571428571,1
1233,8,2,15,1,5,6,1,0,1,0,0,19,6,6,6,12,0,0,6,6,6,12,0,1.0,1.0,1
1234,8,6,12,27,2,2,1,0,1,0,0,19,8,8,7,13,0,0,8,8,7,13,1,0.875,0.875,1
1235,12,1,17,28,8,5,0,0,1,0,0,26,5,9,2,12,0,0,5,9,3,11,1,0.4,0.6,0
1236,1,6,12,27,5,4,1,0,1,0,0,18,7,7,7,13,0,0,8,9,8,13,0,1.0,1.0,1
1237,9,1,7,27,8,8,1,0,1,1,0,18,5,5,1,16,0,0,5,5,0,0,-3,0.2,0.0,0
1238,15,1,4,27,10,10,1,0,1,1,0,20,6,8,6,13,0,0,6,10,6,13,0,1.0,1.0,1
1239,1,1,14,1,5,5,0,0,1,1,0,19,6,7,0,0,0,0,6,6,0,0,-4,0.0,0.0,0
1240,14,1,17,27,10,10,0,0,0,1,0,32,9,9,5,11,0,4,4,4,4,11,1,0.5555555555555556,1.0,0
1241,12,1,8,14,5,5,0,0,0,1,0,31,4,12,2,11,2,0,5,9,3,11,-3,0.5,0.6,0
1242,12,1,7,14,5,6,0,0,1,1,0,25,5,13,1,11,0,0,5,11,1,10,0,0.2,0.2,0
1243,13,1,6,3,10,2,1,0,1,0,0,21,6,14,5,13,0,2,6,10,5,13,0,0.8333333333333334,0.8333333333333334,1
1244,14,1,17,27,5,10,0,0,0,0,0,31,6,10,4,11,0,0,5,6,1,10,-1,0.6666666666666666,0.2,0
1245,12,1,16,27,6,6,0,0,1,0,0,34,7,11,1,10,0,0,7,7,1,13,0,0.14285714285714285,0.14285714285714285,0
1246,1,1,10,14,10,10,0,0,1,0,1,18,6,8,6,13,0,0,6,9,6,12,2,1.0,1.0,1
1247,1,3,10,14,10,10,1,1,1,0,0,19,6,0,0,0,0,0,6,0,0,0,1,0.0,0.0,0
1248,17,1,14,27,4,7,1,1,1,0,0,21,6,12,1,12,0,0,6,11,1,11,3,0.16666666666666666,0.16666666666666666,0
1249,1,2,16,27,6,4,1,0,0,0,0,18,6,11,3,13,0,0,6,10,5,11,-3,0.5,0.8333333333333334,0
1250,1,1,11,29,5,9,1,0,1,0,0,20,6,7,6,14,0,0,6,6,6,16,2,1.0,1.0,1
1251,14,1,15,27,10,6,1,0,1,0,0,20,6,6,6,11,0,0,6,7,6,12,-4,1.0,1.0,1
1252,8,3,14,28,8,9,1,0,1,0,1,18,6,10,5,12,0,0,6,11,5,12,2,0.8333333333333334,0.8333333333333334,1
1253,1,1,10,28,8,9,1,0,1,0,0,19,6,11,4,12,0,0,6,7,6,11,0,0.6666666666666666,1.0,1
1254,14,1,6,14,6,2,1,0,1,0,0,19,5,5,0,0,5,0,5,7,4,14,-1,0.0,0.8,0
1255,12,1,8,1,6,6,1,0,1,0,1,30,6,7,0,0,0,0,6,16,1,10,2,0.0,0.16666666666666666,0
1256,8,1,10,28,6,6,1,0,1,0,0,19,6,6,6,12,0,0,6,7,6,12,2,1.0,1.0,1
1257,1,3,13,27,8,8,1,0,1,0,0,19,7,9,7,11,0,0,8,8,8,13,-1,1.0,1.0,1
1258,1,4,12,27,5,8,1,0,1,0,1,19,8,8,7,13,0,0,8,8,7,13,-1,0.875,0.875,1
1259,1,1,6,28,10,10,1,0,1,0,0,19,6,7,6,16,0,0,6,8,6,15,1,1.0,1.0,1
1260,1,3,10,1,4,4,1,0,1,0,0,20,6,9,5,11,0,0,6,7,6,11,0,0.8333333333333334,1.0,1
1261,13,1,7,27,10,4,0,1,1,1,0,25,5,5,0,0,0,2,6,7,2,14,0,0.0,0.3333333333333333,0
1262,1,2,15,14,10,10,0,0,1,1,0,19,6,0,0,0,0,0,6,0,0,0,1,0.0,0.0,0
1263,12,1,16,14,8,4,0,1,1,0,1,34,6,7,6,16,0,0,6,10,6,16,-3,1.0,1.0,1
1264,9,2,12,27,10,6,1,0,1,0,1,18,8,8,7,11,0,0,8,8,7,11,-1,0.875,0.875,1
1265,1,6,12,1,5,6,1,0,1,0,1,18,8,8,8,13,0,0,8,8,8,13,-3,1.0,1.0,1
1266,1,1,14,28,10,11,0,0,1,0,0,20,6,8,6,12,0,0,6,10,5,14,2,1.0,0.8333333333333334,1
1267,8,2,12,27,10,8,1,0,1,0,1,20,8,8,7,12,0,0,8,8,7,12,1,0.875,0.875,1
1268,17,1,17,28,29,44,0,1,1,0,0,23,11,18,8,12,0,3,9,15,5,12,3,0.7272727272727273,0.5555555555555556,0
1269,12,1,14,27,7,7,0,0,1,0,0,28,6,8,1,10,0,0,6,9,0,0,1,0.16666666666666666,0.0,0
1270,8,1,15,14,10,11,0,0,1,0,0,18,6,8,5,12,0,0,6,10,6,12,-4,0.8333333333333334,1.0,0
1271,14,1,9,28,10,10,1,0,1,0,0,19,5,5,5,12,0,0,5,6,4,12,0,1.0,0.8,1
1272,1,1,9,27,10,9,1,0,1,0,0,34,5,7,2,10,0,0,5,6,4,12,0,0.4,0.8,0
1273,16,1,16,27,8,9,0,0,1,0,0,35,7,7,0,0,0,0,6,0,0,0,3,0.0,0.0,0
1274,4,1,17,27,10,8,0,0,1,0,0,32,5,7,5,11,0,0,5,8,5,12,1,1.0,1.0,1
1275,8,2,11,14,5,8,1,0,1,0,0,19,6,8,6,12,0,0,6,6,6,13,2,1.0,1.0,1
1276,8,5,14,14,10,8,1,0,1,0,0,18,6,10,4,13,0,0,6,7,5,12,2,0.6666666666666666,0.8333333333333334,1
1277,12,1,9,27,10,10,0,0,0,0,0,35,5,8,4,12,1,0,5,8,5,11,-3,0.8,1.0,0
1278,12,1,3,10,5,6,0,0,1,1,1,24,6,6,4,12,0,0,6,10,4,11,1,0.6666666666666666,0.6666666666666666,0
1279,8,1,10,27,10,10,1,0,1,0,1,20,6,7,6,11,0,0,6,8,6,12,0,1.0,1.0,1
1280,1,3,15,14,5,10,1,0,1,1,1,18,6,7,6,13,0,0,6,7,6,13,0,1.0,1.0,1
1281,1,3,12,14,8,10,1,0,1,1,1,20,8,8,7,13,0,0,8,8,7,13,1,0.875,0.875,1
1282,8,5,11,14,5,8,1,0,0,1,0,18,6,12,0,0,0,0,6,0,0,0,-3,0.0,0.0,0
1283,1,1,7,14,5,5,0,0,1,1,1,18,5,6,5,17,0,0,5,8,5,18,1,1.0,1.0,1
1284,1,1,14,27,6,8,0,0,1,1,1,20,5,7,4,11,0,0,5,7,4,11,-3,0.8,0.8,1
1285,8,2,16,28,4,4,1,0,1,1,0,19,7,10,6,13,0,0,7,9,6,12,1,0.8571428571428571,0.8571428571428571,0
1286,1,2,5,1,5,10,1,0,1,1,1,20,6,9,6,11,0,0,6,6,5,13,0,1.0,0.8333333333333334,0
1287,1,1,10,1,10,10,0,0,1,1,0,19,6,6,6,12,0,0,6,8,6,11,1,1.0,1.0,1
1288,1,1,15,27,1,1,1,0,1,1,0,20,6,9,5,12,0,0,6,11,4,11,0,0.8333333333333334,0.6666666666666666,1
1289,1,1,12,14,10,8,1,0,1,1,0,22,7,8,6,14,0,0,8,9,7,13,2,0.8571428571428571,0.875,1
1290,8,2,7,14,10,9,0,0,1,1,1,18,5,8,4,13,0,0,6,10,6,13,2,0.8,1.0,0
1291,1,1,12,28,10,10,0,0,1,1,0,19,8,8,7,14,0,0,8,8,7,14,-1,0.875,0.875,1
1292,15,1,4,14,10,8,0,0,1,1,0,22,6,15,3,11,0,0,6,12,2,10,0,0.5,0.3333333333333333,0
1293,8,5,7,10,3,10,1,0,1,1,0,20,5,5,5,14,0,0,5,5,5,17,3,1.0,1.0,1
1294,12,1,4,31,10,4,0,1,0,1,0,34,6,7,0,0,0,0,6,0,0,0,1,0.0,0.0,0
1295,12,1,3,1,5,5,0,0,1,1,0,24,6,14,1,10,0,0,5,5,0,0,0,0.16666666666666666,0.0,0
1296,12,2,14,24,1,1,1,0,1,1,0,26,5,5,0,0,0,0,5,5,0,0,0,0.0,0.0,0
1297,12,1,12,27,10,7,0,0,1,1,0,35,7,10,4,12,0,0,7,9,5,12,1,0.5714285714285714,0.7142857142857143,0
1298,1,1,17,27,5,10,1,0,1,1,0,22,5,9,5,12,1,0,5,7,5,11,0,1.0,1.0,1
1299,9,1,11,28,6,6,1,0,1,1,0,26,6,10,4,10,0,0,6,11,3,12,-3,0.6666666666666666,0.5,0
1300,8,1,9,14,4,5,0,0,1,1,0,19,5,7,3,12,0,0,5,5,0,0,3,0.6,0.0,0
1301,1,5,11,14,4,10,1,0,0,1,0,19,6,0,0,0,0,0,6,0,0,0,3,0.0,0.0,0
1302,15,1,2,3,3,3,0,1,1,1,0,20,0,0,0,0,0,0,0,0,0,0,-4,0.0,0.0,1
1303,16,1,14,3,2,11,0,1,1,1,0,21,11,12,10,12,0,2,8,9,8,13,2,0.9090909090909091,1.0,1
1304,1,2,15,14,8,8,1,0,1,0,1,19,6,7,6,14,0,0,6,6,6,15,0,1.0,1.0,1
1305,1,3,15,14,10,10,1,0,1,0,0,18,6,6,6,12,0,0,6,7,6,12,-1,1.0,1.0,1
1306,17,1,4,28,9,9,0,0,1,0,1,23,12,14,12,14,0,5,10,12,10,13,3,1.0,1.0,1
1307,8,3,9,28,6,8,1,0,1,0,1,18,5,5,5,13,0,0,5,6,5,12,-1,1.0,1.0,1
1308,9,1,12,28,6,8,1,0,1,0,0,18,8,8,7,13,0,0,8,8,7,13,-1,0.875,0.875,1
1309,1,3,12,28,10,10,1,0,1,0,0,19,8,8,7,11,0,0,8,8,7,11,1,0.875,0.875,1
1310,17,1,9,14,21,37,1,0,1,0,0,21,11,17,11,11,0,3,9,13,8,12,3,1.0,0.8888888888888888,1
1311,1,1,6,27,10,7,1,0,1,0,1,18,6,13,6,16,0,0,6,8,6,13,-4,1.0,1.0,1
1312,1,1,15,27,10,6,1,0,1,0,1,24,6,7,6,13,0,0,6,6,6,12,1,1.0,1.0,1
1313,1,4,12,29,3,4,1,0,1,0,0,18,7,8,7,12,0,0,8,9,8,13,0,1.0,1.0,0
1314,1,1,14,1,6,8,1,0,1,0,0,18,6,7,6,12,0,0,6,10,3,12,0,1.0,0.5,0
1315,8,2,12,27,10,8,1,0,1,0,0,20,7,8,6,14,0,0,8,10,7,14,1,0.8571428571428571,0.875,1
1316,8,2,6,14,5,10,1,0,1,0,0,19,5,13,3,12,2,0,5,8,4,11,-3,0.6,0.8,0
1317,1,5,15,28,1,9,1,0,0,0,1,18,6,12,3,12,0,0,6,15,3,10,0,0.5,0.5,0
1318,14,1,11,14,6,8,0,0,1,0,1,19,6,11,4,12,0,0,6,14,3,11,1,0.6666666666666666,0.5,0
1319,8,2,16,28,5,9,1,0,1,0,0,19,6,10,5,12,0,0,6,7,5,11,1,0.8333333333333334,0.8333333333333334,1
1320,1,5,10,28,10,4,0,1,1,0,0,18,6,6,6,12,0,0,6,6,6,12,1,1.0,1.0,1
1321,1,2,16,1,32,16,1,0,1,0,0,20,7,8,6,13,0,0,7,8,6,14,2,0.8571428571428571,0.8571428571428571,0
1322,1,5,12,28,10,10,1,0,1,0,1,18,8,8,8,13,0,0,8,8,8,13,-3,1.0,1.0,1
1323,8,6,13,28,6,6,1,0,1,0,1,19,7,11,6,12,0,0,7,8,6,12,2,0.8571428571428571,0.8571428571428571,1
1324,8,3,9,28,3,11,1,0,1,0,0,18,5,16,4,10,0,0,5,11,2,12,0,0.8,0.4,0
1325,1,2,12,27,10,10,1,0,1,0,0,18,7,7,6,14,0,0,7,7,6,14,0,0.8571428571428571,0.8571428571428571,1
1326,1,1,6,27,5,10,1,0,1,0,0,21,6,12,4,12,0,0,6,13,2,12,2,0.6666666666666666,0.3333333333333333,0
1327,8,1,11,28,1,8,1,1,0,0,0,19,6,14,1,10,0,0,6,13,0,0,0,0.16666666666666666,0.0,0
1328,1,4,12,1,4,4,1,0,1,0,0,21,7,8,7,14,0,0,8,9,8,14,1,1.0,1.0,1
1329,1,1,6,1,3,10,0,0,1,0,0,18,6,14,4,11,0,0,6,17,3,13,2,0.6666666666666666,0.5,0
1330,8,3,13,28,10,8,0,0,1,0,1,18,7,9,7,12,0,0,8,8,8,13,-1,1.0,1.0,1
1331,1,1,12,1,4,11,0,0,1,0,0,18,7,7,7,13,0,0,8,9,8,13,2,1.0,1.0,1
1332,1,1,8,1,2,4,0,0,0,0,0,23,5,9,0,0,3,1,5,10,1,12,1,0.0,0.2,0
1333,1,1,10,27,8,8,1,0,1,0,0,20,6,13,3,11,0,0,6,9,4,12,0,0.5,0.6666666666666666,0
1334,1,1,12,28,6,6,0,0,1,0,0,18,7,7,7,13,0,0,8,9,8,13,0,1.0,1.0,1
1335,8,2,16,14,3,11,1,0,1,0,0,19,6,9,5,13,0,0,6,8,5,10,0,0.8333333333333334,0.8333333333333334,0
1336,12,1,12,28,4,8,0,0,1,0,1,27,7,8,6,12,0,0,7,9,6,11,1,0.8571428571428571,0.8571428571428571,0
1337,8,1,9,27,10,7,1,1,0,0,1,19,5,5,5,12,0,0,5,5,4,12,2,1.0,0.8,0
1338,14,1,8,14,10,10,1,0,1,0,0,21,6,14,5,11,1,0,6,13,5,11,-4,0.8333333333333334,0.8333333333333334,0
1339,9,1,12,28,8,9,1,0,1,0,1,19,8,8,7,11,0,0,8,8,7,11,1,0.875,0.875,1
1340,15,1,10,27,7,10,0,0,1,0,1,21,6,6,6,12,0,2,6,8,6,11,0,1.0,1.0,1
1341,1,5,15,14,10,10,1,0,1,0,0,18,6,7,5,12,0,0,6,10,4,12,1,0.8333333333333334,0.6666666666666666,1
1342,8,1,6,28,8,8,1,0,1,0,1,20,5,8,5,12,1,0,5,8,4,15,-1,1.0,0.8,1
1343,1,1,16,27,10,8,1,0,1,0,1,18,6,8,5,13,0,0,6,9,5,13,-3,0.8333333333333334,0.8333333333333334,1
1344,8,1,5,1,5,9,1,1,0,0,1,18,6,6,6,11,0,0,6,8,6,11,-1,1.0,1.0,0
1345,1,3,6,3,5,5,1,0,1,0,0,18,6,8,6,14,0,0,6,9,6,13,3,1.0,1.0,1
1346,8,4,15,1,4,4,1,0,1,0,1,18,6,6,6,12,0,0,6,6,6,13,0,1.0,1.0,1
1347,1,3,12,1,8,8,1,0,1,0,1,19,7,10,5,13,0,0,7,7,7,12,1,0.7142857142857143,1.0,0
1348,17,1,6,28,9,10,1,1,0,0,0,23,11,18,11,13,0,4,9,15,8,13,3,1.0,0.8888888888888888,0
1349,12,1,6,14,5,10,1,0,1,0,1,24,6,7,6,12,0,0,6,11,6,12,3,1.0,1.0,1
1350,1,1,2,1,4,4,1,0,1,0,0,19,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1
1351,1,3,12,14,10,10,1,0,1,0,0,18,8,8,7,15,0,0,8,8,7,15,-1,0.875,0.875,1
1352,1,2,5,14,5,4,0,0,1,0,0,19,6,6,6,12,0,0,6,6,6,11,-1,1.0,1.0,1
1353,8,2,16,14,5,10,1,0,1,0,0,19,6,0,0,0,0,0,6,0,0,0,1,0.0,0.0,0
1354,1,1,10,28,6,9,0,0,1,0,1,20,6,11,5,10,0,0,6,9,5,11,2,0.8333333333333334,0.8333333333333334,0
1355,1,1,6,10,5,6,0,0,1,0,0,20,6,10,6,13,0,0,6,11,5,12,0,1.0,0.8333333333333334,0
1356,12,1,15,27,1,1,0,0,1,0,0,26,6,8,4,11,0,0,6,12,0,0,0,0.6666666666666666,0.0,0
1357,12,1,11,1,10,6,0,1,0,1,0,36,5,10,0,0,0,0,5,5,0,0,-4,0.0,0.0,0
1358,8,1,2,1,5,11,0,0,0,1,0,19,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0
1359,13,1,7,27,10,10,0,0,0,1,0,27,5,0,0,0,0,0,5,0,0,0,-4,0.0,0.0,0
1360,1,4,7,1,15,31,0,0,1,1,0,18,5,9,1,13,0,0,5,5,0,0,3,0.2,0.0,0
1361,1,4,12,28,10,10,1,0,1,1,1,18,8,8,7,13,0,0,8,8,7,13,1,0.875,0.875,1
1362,12,1,5,28,6,6,0,0,1,1,0,28,6,0,0,0,0,0,6,0,0,0,1,0.0,0.0,0
1363,15,1,2,1,10,10,1,0,1,1,0,21,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1
1364,1,1,12,27,5,10,0,0,1,1,0,19,7,7,6,13,0,0,7,7,6,13,0,0.8571428571428571,0.8571428571428571,1
1365,12,1,14,16,4,4,0,1,0,1,0,26,5,5,0,0,0,0,5,5,0,0,-3,0.0,0.0,0
1366,16,1,7,14,4,6,1,0,1,1,0,20,9,12,9,13,0,2,7,9,6,13,2,1.0,0.8571428571428571,0
1367,1,6,12,28,10,10,1,0,1,1,0,19,8,8,7,12,0,0,8,8,7,12,-1,0.875,0.875,1
1368,1,1,9,14,8,4,1,0,1,1,0,21,5,8,3,10,0,0,5,10,4,11,-1,0.6,0.8,0
1369,17,1,14,14,10,10,0,0,1,1,1,23,6,7,5,13,0,0,6,7,6,12,3,0.8333333333333334,1.0,1
1370,12,1,3,27,5,9,0,0,1,1,0,29,6,11,6,12,0,0,6,6,6,14,2,1.0,1.0,1
1371,1,1,12,1,10,10,0,0,1,1,0,20,8,8,7,15,0,0,8,8,7,15,-1,0.875,0.875,1
1372,1,1,10,14,6,10,0,0,1,1,0,18,6,8,6,12,0,0,6,7,6,11,-4,1.0,1.0,1
